TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
irisdeltaj.simplerelational.br.unb.cic.iris.command.console.ChangeFolderConsoleCommand,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8013888888888889,35,30
irisdeltaj.simplerelational.br.unb.cic.iris.MainProgram,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5284090909090909,39,12
irisdeltaj.simplerelational.br.unb.cic.iris.command.console.ConsoleCommandManager,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7721736596736597,106,65
irisdeltaj.simplerelational.br.unb.cic.iris.command.console.ConsoleConnectCommand,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8291666666666666,69,67
irisdeltaj.simplerelational.br.unb.cic.iris.command.console.ConsoleHelpCommand,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8396780303030303,40,35
irisdeltaj.simplerelational.br.unb.cic.iris.command.console.ConsoleListFoldersCommand,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5944444444444444,48,31
irisdeltaj.simplerelational.br.unb.cic.iris.command.console.ConsoleListMessagesCommand,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7170940170940171,70,34
irisdeltaj.simplerelational.br.unb.cic.iris.command.console.ConsoleListProvidersCommand,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9166666666666666,48,46
irisdeltaj.simplerelational.br.unb.cic.iris.command.console.ConsoleListRemoteFoldersCommand,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.609077380952381,43,30
irisdeltaj.simplerelational.br.unb.cic.iris.command.console.ConsoleQuitCommand,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8072916666666666,39,35
irisdeltaj.simplerelational.br.unb.cic.iris.command.console.ConsoleSendMessageCommand,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5683379120879121,111,35
irisdeltaj.simplerelational.br.unb.cic.iris.command.console.ConsoleStatusCommand,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5785714285714285,50,31
irisdeltaj.simplerelational.br.unb.cic.iris.command.console.CurrentFolderConsoleCommand,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9166666666666666,27,25
irisdeltaj.simplerelational.br.unb.cic.iris.command.console.DownloadMessagesConsoleCommand,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8037405303030303,48,44
irisdeltaj.simplerelational.br.unb.cic.iris.command.console.LoadConsoleCommand,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7685897435897435,67,49
irisdeltaj.simplerelational.br.unb.cic.iris.command.console.ReadMessageConsoleCommand,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7676282051282051,47,37
irisdeltaj.simplerelational.br.unb.cic.iris.command.manager.AbstractCommandManager,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6626225490196078,65,18
irisdeltaj.simplerelational.br.unb.cic.iris.command.manager.BaseCommandManager,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7208017676767676,64,51
irisdeltaj.simplerelational.br.unb.cic.iris.command.manager.SimpleCommandManager,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,10,10
irisdeltaj.simplerelational.br.unb.cic.iris.command.AbstractListMessagesCommand,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,53,0
irisdeltaj.simplerelational.br.unb.cic.iris.command.AbstractMailCommand,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5039724164724164,79,41
irisdeltaj.simplerelational.br.unb.cic.iris.command.CommandNotFoundException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,18,18
irisdeltaj.simplerelational.br.unb.cic.iris.core.exception.DBException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,6,6
irisdeltaj.simplerelational.br.unb.cic.iris.core.exception.EmailException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,12,12
irisdeltaj.simplerelational.br.unb.cic.iris.core.exception.EmailMessageValidationException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8125,53,49
irisdeltaj.simplerelational.br.unb.cic.iris.core.exception.EmailUncheckedException,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,30,30
irisdeltaj.simplerelational.br.unb.cic.iris.core.model.EmailMessage,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.99,210,208
irisdeltaj.simplerelational.br.unb.cic.iris.core.model.FolderContent,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,23,23
irisdeltaj.simplerelational.br.unb.cic.iris.core.model.IrisFolder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9722222222222222,58,56
irisdeltaj.simplerelational.br.unb.cic.iris.core.BaseManager,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.84375,51,47
irisdeltaj.simplerelational.br.unb.cic.iris.core.Configuration,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8541666666666666,81,75
irisdeltaj.simplerelational.br.unb.cic.iris.core.FolderManager,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5464858670741024,82,43
irisdeltaj.simplerelational.br.unb.cic.iris.i18n.MessageBundle,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.746875,75,64
irisdeltaj.simplerelational.br.unb.cic.iris.mail.provider.AbstractEmailProvider,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.16880030959752323,200,10
irisdeltaj.simplerelational.br.unb.cic.iris.mail.provider.DefaultProvider,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.25945723684210525,84,20
irisdeltaj.simplerelational.br.unb.cic.iris.mail.provider.GmailProvider,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9281914893617021,157,130
irisdeltaj.simplerelational.br.unb.cic.iris.mail.provider.OutlookProvider,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9281914893617021,153,126
irisdeltaj.simplerelational.br.unb.cic.iris.mail.provider.ProviderManager,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8229489164086687,68,54
irisdeltaj.simplerelational.br.unb.cic.iris.mail.provider.YahooProvider,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9281914893617021,155,128
irisdeltaj.simplerelational.br.unb.cic.iris.reflect.ClassFinder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7158826739190688,317,222
irisdeltaj.simplerelational.br.unb.cic.iris.util.StringUtil,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9156323877068557,116,115
irisdeltaj.simplerelationaladdressbook.br.unb.cic.iris.command.console.AddressBookConsoleCommand,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6755769230769231,152,108
irisdeltaj.simplerelationaladdressbook.br.unb.cic.iris.core.model.AddressBookEntry,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,58,58
irisdeltaj.simplerelationaltag.br.unb.cic.iris.command.console.TagConsoleCommand,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6299064248759371,160,95
irisdeltaj.simplerelationaltag.br.unb.cic.iris.core.model.Tag,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9895833333333334,67,66
irisdeltaj.simplerelationaltag.br.unb.cic.iris.core.TagManager,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6546160130718954,85,59
irisdeltaj.simplerelationalsearch.br.unb.cic.iris.command.console.ConsoleSearchCommand,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.834551282051282,67,62
irisdeltaj.simpleluceneaddressbook.br.unb.cic.iris.command.console.AddressBookConsoleCommand,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6755769230769231,152,108
irisdeltaj.simpleluceneaddressbook.br.unb.cic.iris.core.model.AddressBookEntry,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,58,58
irisdeltaj.simplelucenetag.br.unb.cic.iris.command.console.TagConsoleCommand,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6299064248759371,160,95
irisdeltaj.simplelucenetag.br.unb.cic.iris.core.model.Tag,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9895833333333334,67,66
irisdeltaj.simplelucenetag.br.unb.cic.iris.core.TagManager,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6546160130718954,85,59
irisdeltaj.simpleluceneaddressbooktag.br.unb.cic.iris.command.console.ConsoleSearchCommand,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8553846153846154,67,63
irisdeltaj.simplerelationalsecuritysignverify.br.unb.cic.iris.command.console.ConsoleSendSecuritySignMessageCommand,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5641971253384297,113,35
irisdeltaj.simplerelationalsecuritysignverify.br.unb.cic.iris.util.MessageUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8181818181818182,65,58
irisdeltaj.simplerelationalsecurityencryptdecrypt.br.unb.cic.iris.command.console.ConsoleSendSecurityEncryptMessageCommand,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5641971253384297,113,35
irisdeltaj.simplerelationalsecuritycomplete.br.unb.cic.iris.command.console.ConsoleSendSecurityEncryptMessageCommand,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5641971253384297,113,35
irisdeltaj.simplerelationalsecuritycomplete.br.unb.cic.iris.command.console.ConsoleSendSecuritySignEncryptMessageCommand,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5623855311355311,114,35
irisdeltaj.simplerelationalsecuritycomplete.br.unb.cic.iris.command.console.ConsoleSendSecuritySignMessageCommand,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5641971253384297,113,35
irisdeltaj.simplerelationalcategory.br.unb.cic.iris.command.console.CategoryConsoleCommand,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5975956879844961,116,62
irisdeltaj.simplerelationalcategory.br.unb.cic.iris.core.CategoryManager,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6833333333333333,52,31
irisdeltaj.simplerelationalcategory.br.unb.cic.iris.core.model.Category,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,80,80
irisdeltaj.simplerelationalcategory.br.unb.cic.iris.util.CategoryUtil,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8518518518518519,143,141
